ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,Dataset
47,2.28,Ideal,D,IF,VG,EX,GIA,73209.00000,Train
48,1.01,Signature-Ideal,D,VVS2,ID,ID,AGSL,12996.00000,Train
49,2.29,Ideal,G,VS2,VG,VG,GIA,27097.00000,Train
50,0.8,Ideal,D,VS2,VG,EX,GIA,3817.00000,Train
51,1.06,Signature-Ideal,G,VVS2,ID,ID,AGSL,9645.00000,Train
52,1.62,Ideal,F,VS2,EX,EX,GIA,18281.00000,Train
53,0.83,Ideal,E,SI1,EX,EX,GIA,4024.00000,Train
54,1.58,Ideal,G,VVS2,VG,VG,GIA,16625.00000,Train
55,0.91,Very Good,F,SI1,EX,VG,GIA,4546.00000,Train
56,1.01,Fair,D,SI1,VG,G,GIA,5628.00000,Train
57,1.13,Ideal,G,VVS1,EX,EX,GIA,9653.00000,Train
58,2,Good,I,SI1,EX,VG,GIA,14321.00000,Train
59,0.83,Very Good,H,VS2,VG,VG,GIA,3249.00000,Train
60,0.92,Very Good,E,SI1,VG,VG,GIA,4286.00000,Train
61,1.25,Ideal,G,VVS2,VG,VG,GIA,11089.00000,Train
62,1.23,Signature-Ideal,G,VS1,EX,EX,GIA,10859.00000,Train
63,1.51,Good,E,SI1,EX,EX,GIA,12487.00000,Train
64,1.21,Signature-Ideal,E,VS1,EX,EX,GIA,12111.00000,Train
65,1.02,Very Good,D,SI1,G,VG,GIA,6001.00000,Train
66,0.75,Very Good,F,SI1,VG,VG,GIA,2734.00000,Train
67,0.78,Very Good,I,VS1,VG,VG,GIA,2694.00000,Train
68,2.02,Ideal,E,VS1,VG,G,GIA,32060.00000,Train
69,0.9,Good,E,SI1,VG,G,GIA,4147.00000,Train
70,1.01,Ideal,F,VS1,EX,EX,GIA,8860.00000,Train
71,1.02,Ideal,G,VS2,EX,EX,GIA,6264.00000,Train
72,1.14,Very Good,H,VS2,VG,G,GIA,5640.00000,Train
73,1.5,Very Good,G,SI1,VG,VG,GIA,10019.00000,Train
74,1.3,Very Good,H,SI1,VG,G,GIA,7018.00000,Train
75,1.01,Very Good,D,IF,VG,VG,GIA,18187.00000,Train
76,2.17,Ideal,G,VS1,EX,EX,GIA,30156.00000,Train
77,0.9,Ideal,G,SI1,EX,EX,GIA,4260.00000,Train
78,1,Good,H,SI1,VG,VG,GIA,4864.00000,Train
79,2.24,Ideal,E,VS1,EX,EX,GIA,40445.00000,Train
80,1.59,Ideal,H,VS1,EX,EX,GIA,13839.00000,Train
81,1.02,Ideal,H,VS1,VG,VG,GIA,5835.00000,Train
82,1.02,Very Good,H,SI1,VG,VG,GIA,4932.00000,Train
83,2.1,Signature-Ideal,F,SI1,ID,ID,AGSL,26278.00000,Train
84,0.91,Fair,F,SI1,VG,G,GIA,4036.00000,Train
85,1.62,Very Good,F,SI1,EX,VG,GIA,12202.00000,Train
86,1.1,Ideal,H,VS2,VG,VG,GIA,6387.00000,Train
87,0.91,Very Good,F,SI1,VG,EX,GIA,4188.00000,Train
88,1.2,Good,I,VS1,VG,VG,GIA,5818.00000,Train
89,0.9,Very Good,E,SI1,EX,EX,GIA,4442.00000,Train
90,1.04,Very Good,F,SI1,G,EX,GIA,5369.00000,Train
91,1.66,Ideal,H,VS1,EX,EX,GIA,13330.00000,Train
92,0.77,Very Good,D,VS1,EX,EX,GIA,3643.00000,Train
93,1.63,Very Good,I,SI1,G,G,GIA,9199.00000,Train
94,1.32,Ideal,E,SI1,VG,VG,GIA,8014.00000,Train
95,1.71,Very Good,F,VS1,VG,VG,GIA,17768.00000,Train
96,1.02,Ideal,E,SI1,VG,VG,GIA,5590.00000,Train
97,1.04,Ideal,G,VS2,EX,EX,GIA,6809.00000,Train
98,1.01,Ideal,F,VS2,EX,EX,GIA,7411.00000,Train
99,1.2,Very Good,E,VS2,VG,EX,GIA,9320.00000,Train
100,2,Good,I,VS2,VG,VG,GIA,15438.00000,Train
101,1.01,Very Good,I,SI1,EX,EX,GIA,4133.00000,Train
102,1,Very Good,E,VVS2,EX,VG,GIA,8638.00000,Train
103,0.9,Ideal,I,SI1,VG,VG,GIA,3455.00000,Train
104,1.38,Ideal,G,VVS1,EX,VG,GIA,12684.00000,Train
105,1,Very Good,I,VS2,EX,VG,GIA,4739.00000,Train
106,1.13,Very Good,F,VVS2,VG,VG,GIA,9947.00000,Train
107,0.79,Ideal,I,VS1,EX,EX,GIA,2888.00000,Train
108,1.54,Ideal,I,VS2,ID,ID,AGSL,9998.00000,Train
109,0.81,Very Good,I,SI1,VG,VG,GIA,2701.00000,Train
110,1.15,Ideal,F,VVS2,VG,VG,GIA,10555.00000,Train
111,1.51,Very Good,F,VS2,EX,VG,GIA,13324.00000,Train
112,1.2,Ideal,I,SI1,EX,VG,GIA,5476.00000,Train
113,1.1,Very Good,H,SI1,VG,G,GIA,5276.00000,Train
114,1.31,Very Good,I,VS1,VG,VG,GIA,6885.00000,Train
115,1.03,Ideal,G,VS2,EX,EX,GIA,6981.00000,Train
116,1.1,Very Good,I,SI1,G,EX,GIA,4545.00000,Train
117,1.01,Very Good,F,VVS1,EX,EX,GIA,9782.00000,Train
118,1.01,Very Good,E,SI1,VG,VG,GIA,5224.00000,Train
119,1.01,Very Good,F,VS2,EX,EX,GIA,6714.00000,Train
120,1.57,Ideal,G,VS2,EX,EX,GIA,14283.00000,Train
121,1.01,Good,H,SI1,EX,EX,GIA,4563.00000,Train
122,1,Ideal,E,VS2,EX,EX,GIA,7370.00000,Train
123,1.21,Very Good,D,SI1,VG,EX,GIA,7597.00000,Train
124,0.93,Very Good,E,VS2,G,VG,GIA,5140.00000,Train
125,1.78,Very Good,D,VS2,VG,G,GIA,16697.00000,Train
126,2.25,Ideal,E,VS2,EX,EX,GIA,32691.00000,Train
127,0.93,Very Good,D,VS1,VG,VG,GIA,5862.00000,Train
128,0.9,Very Good,H,VS2,G,G,GIA,4064.00000,Train
129,1.01,Very Good,H,SI1,EX,VG,GIA,4682.00000,Train
130,1.14,Good,H,SI1,VG,VG,GIA,5487.00000,Train
131,1.05,Very Good,G,VS1,EX,VG,GIA,7010.00000,Train
132,1.6,Ideal,G,VS2,ID,ID,AGSL,15000.00000,Train
133,1.01,Good,E,SI1,VG,VG,GIA,4989.00000,Train
134,1.01,Fair,D,SI1,EX,G,GIA,5122.00000,Train
135,0.75,Very Good,F,VVS2,G,G,GIA,3551.00000,Train
136,1.01,Very Good,D,SI1,VG,VG,GIA,5731.00000,Train
137,2.03,Very Good,I,SI1,VG,EX,GIA,15101.00000,Train
138,0.83,Good,E,SI1,EX,VG,GIA,3422.00000,Train
139,1.02,Very Good,E,VS2,VG,VG,GIA,6366.00000,Train
140,2.12,Ideal,H,VS2,ID,ID,AGSL,21846.00000,Train
141,2.04,Ideal,I,SI1,EX,EX,GIA,16718.00000,Train
142,0.75,Ideal,I,VVS2,ID,ID,AGSL,2782.00000,Train
143,2.17,Ideal,F,SI1,VG,EX,GIA,22930.00000,Train
144,1,Fair,F,VS1,EX,VG,GIA,6627.00000,Train
145,1,Good,E,SI1,VG,EX,GIA,5408.00000,Train
146,1.26,Very Good,F,VS1,EX,EX,GIA,11255.00000,Train
147,1.31,Ideal,I,VS1,EX,EX,GIA,7751.00000,Train
148,1.51,Very Good,G,VS2,VG,VG,GIA,11923.00000,Train
149,1.02,Very Good,D,SI1,G,VG,GIA,5839.00000,Train
150,1.01,Ideal,E,VVS2,VG,VG,GIA,10503.00000,Train
151,0.91,Ideal,I,VS1,ID,ID,AGSL,4374.00000,Train
152,0.79,Ideal,I,VS2,VG,EX,GIA,2712.00000,Train
153,0.79,Good,E,SI1,VG,VG,GIA,2548.00000,Train
154,1.02,Very Good,E,SI1,VG,VG,GIA,5667.00000,Train
155,2.02,Very Good,F,SI1,VG,VG,GIA,17658.00000,Train
156,1.06,Ideal,I,SI1,EX,EX,GIA,4745.00000,Train
157,1.01,Very Good,F,VVS2,VG,G,GIA,7835.00000,Train
158,0.9,Very Good,D,VS2,G,VG,GIA,4729.00000,Train
159,2.15,Very Good,G,VS1,EX,EX,GIA,27558.00000,Train
160,2.2,Very Good,F,VS2,EX,EX,GIA,27535.00000,Train
161,1.22,Ideal,F,VS1,EX,EX,GIA,10422.00000,Train
162,1,Fair,E,VVS2,VG,G,GIA,7553.00000,Train
163,0.8,Very Good,H,SI1,EX,G,GIA,2670.00000,Train
164,2.19,Very Good,F,VS2,VG,VG,GIA,29635.00000,Train
165,1.32,Ideal,D,VVS2,EX,EX,GIA,16099.00000,Train
166,1.51,Good,F,SI1,G,G,GIA,11056.00000,Train
167,1.01,Good,E,SI1,VG,VG,GIA,5233.00000,Train
168,2.74,Ideal,I,SI1,ID,ID,AGSL,24089.00000,Train
169,1.02,Very Good,F,VVS1,VG,VG,GIA,8800.00000,Train
170,2.04,Ideal,E,SI1,ID,ID,AGSL,20045.00000,Train
171,1.02,Ideal,G,VS1,EX,VG,GIA,7038.00000,Train
172,1.02,Very Good,G,VVS2,VG,EX,GIA,8252.00000,Train
173,2.08,Ideal,H,SI1,EX,EX,GIA,18760.00000,Train
174,1.02,Very Good,F,VVS2,EX,VG,GIA,9246.00000,Train
175,1.06,Ideal,G,SI1,VG,VG,GIA,5870.00000,Train
176,1.5,Very Good,F,VS2,VG,VG,GIA,12751.00000,Train
177,1.57,Very Good,F,VVS1,EX,EX,GIA,21167.00000,Train
178,2.34,Very Good,D,VVS2,VG,VG,GIA,57208.00000,Train
179,1.2,Ideal,I,VS2,EX,EX,GIA,6303.00000,Train
180,1.01,Very Good,D,SI1,VG,VG,GIA,5619.00000,Train
181,1.32,Ideal,G,VS1,ID,ID,AGSL,11079.00000,Train
182,1.15,Very Good,H,VS2,G,G,GIA,5831.00000,Train
183,0.91,Very Good,D,SI1,VG,G,GIA,4585.00000,Train
184,1.14,Ideal,I,SI1,VG,VG,GIA,4894.00000,Train
185,1.13,Ideal,H,VVS2,EX,EX,GIA,7385.00000,Train
186,2.08,Ideal,E,VS2,EX,EX,GIA,32149.00000,Train
187,0.9,Good,E,VVS1,EX,VG,GIA,7214.00000,Train
188,0.75,Ideal,H,SI1,VG,VG,GIA,2501.00000,Train
189,2.66,Ideal,D,FL,EX,EX,GIA,96493.00000,Train
190,1.56,Ideal,G,VS2,EX,EX,GIA,13543.00000,Train
191,1.02,Very Good,G,VVS2,G,VG,GIA,8013.00000,Train
192,1.02,Ideal,F,SI1,VG,EX,GIA,5795.00000,Train
193,1.53,Very Good,G,VS1,VG,G,GIA,15008.00000,Train
194,1.07,Very Good,F,IF,G,G,GIA,11019.00000,Train
195,1.2,Very Good,G,SI1,VG,VG,GIA,6076.00000,Train
196,0.9,Fair,F,SI1,VG,VG,GIA,3842.00000,Train
197,1.23,Ideal,D,VVS2,EX,EX,GIA,13274.00000,Train
198,1.01,Ideal,D,VVS2,ID,ID,AGSL,11442.00000,Train
199,1.06,Signature-Ideal,F,VVS2,EX,EX,GIA,10927.00000,Train
200,1.04,Ideal,G,VS2,EX,EX,GIA,6769.00000,Train
201,1.51,Ideal,G,VS2,VG,EX,GIA,12947.00000,Train
202,1.22,Very Good,H,SI1,G,VG,GIA,6350.00000,Train
203,0.9,Very Good,E,SI1,VG,G,GIA,4265.00000,Train
204,1.02,Ideal,F,VS2,EX,VG,GIA,6622.00000,Train
205,0.8,Very Good,H,VS1,VG,VG,GIA,3144.00000,Train
206,1.57,Ideal,E,VS2,EX,EX,GIA,17548.00000,Train
207,2.08,Very Good,F,VS2,VG,G,GIA,30210.00000,Train
208,0.9,Very Good,F,VS1,VG,VG,GIA,4671.00000,Train
209,1.5,Ideal,H,VS1,ID,ID,AGSL,12055.00000,Train
210,2.01,Very Good,H,SI1,VG,G,GIA,18149.00000,Train
211,1.28,Ideal,G,SI1,EX,EX,GIA,7415.00000,Train
212,1.52,Very Good,H,VS1,VG,VG,GIA,12877.00000,Train
213,1,Good,H,SI1,VG,VG,GIA,4702.00000,Train
214,2.37,Ideal,H,VS2,EX,VG,GIA,28063.00000,Train
215,2.02,Good,E,VS1,EX,VG,GIA,29334.00000,Train
216,1.21,Ideal,F,VS1,ID,ID,AGSL,11045.00000,Train
217,1.54,Good,H,VS1,EX,VG,GIA,10669.00000,Train
218,1.5,Very Good,H,VS2,VG,G,GIA,9706.00000,Train
219,0.78,Very Good,E,VVS1,EX,VG,GIA,4904.00000,Train
220,2.2,Very Good,I,VS1,EX,EX,AGSL,19671.00000,Train
221,1.14,Ideal,G,IF,EX,EX,GIA,9948.00000,Train
222,1.33,Ideal,G,VVS2,EX,EX,GIA,12345.00000,Train
223,1.04,Ideal,D,VVS2,EX,EX,GIA,11367.00000,Train
224,2,Very Good,I,SI1,VG,G,GIA,15381.00000,Train
225,0.9,Very Good,D,VVS2,EX,VG,GIA,5423.00000,Train
226,1.51,Fair,G,SI1,G,VG,GIA,8681.00000,Train
227,1.23,Very Good,G,VVS1,EX,EX,GIA,10477.00000,Train
228,1.53,Ideal,I,SI1,VG,VG,GIA,8971.00000,Train
229,1.04,Very Good,F,SI1,G,VG,GIA,5290.00000,Train
230,1.2,Very Good,H,SI1,EX,G,GIA,5630.00000,Train
231,2.13,Ideal,D,IF,ID,ID,AGSL,70114.00000,Train
232,0.9,Good,H,VS1,VG,VG,GIA,4072.00000,Train
233,1.09,Ideal,E,VS2,EX,EX,GIA,7978.00000,Train
234,1.27,Ideal,F,VVS1,VG,VG,GIA,13279.00000,Train
235,1.01,Good,G,SI1,VG,G,GIA,4884.00000,Train
236,1.13,Very Good,G,VVS2,VG,VG,GIA,9788.00000,Train
237,1.01,Very Good,I,VS1,EX,EX,GIA,5041.00000,Train
238,2.21,Ideal,G,VS2,EX,EX,GIA,30440.00000,Train
239,2.03,Ideal,I,VVS1,ID,ID,AGSL,21437.00000,Train
240,2.01,Very Good,I,VS2,VG,VG,GIA,15675.00000,Train
241,2.13,Very Good,H,SI1,VG,VG,GIA,17601.00000,Train
242,1.5,Good,F,SI1,G,G,GIA,10755.00000,Train
243,1.27,Ideal,I,VS1,G,VG,GIA,6396.00000,Train
244,1.07,Ideal,F,IF,EX,VG,GIA,11327.00000,Train
245,2.14,Good,G,SI1,VG,G,GIA,20853.00000,Train
246,1.01,Very Good,H,SI1,EX,EX,AGSL,4727.00000,Train
247,1,Ideal,F,SI1,VG,EX,GIA,5312.00000,Train
248,1.52,Very Good,E,SI1,EX,EX,GIA,12275.00000,Train
249,1.19,Ideal,G,VS1,ID,ID,AGSL,8034.00000,Train
250,1.03,Ideal,F,VS1,ID,ID,AGSL,7856.00000,Train
251,1.01,Good,F,SI1,EX,VG,GIA,5078.00000,Train
252,0.9,Very Good,D,SI1,G,G,GIA,4105.00000,Train
253,2.02,Ideal,H,VS1,VG,VG,GIA,20885.00000,Train
254,1.22,Very Good,G,VS2,VG,EX,GIA,8340.00000,Train
255,1.13,Ideal,G,SI1,EX,VG,GIA,5759.00000,Train
256,1.01,Ideal,F,SI1,EX,EX,GIA,5870.00000,Train
257,1.04,Ideal,G,VS2,EX,EX,GIA,7044.00000,Train
258,0.76,Very Good,H,IF,EX,EX,GIA,3367.00000,Train
259,0.93,Ideal,I,SI1,EX,EX,GIA,3772.00000,Train
260,0.9,Ideal,H,VS2,VG,VG,GIA,4369.00000,Train
261,1.22,Very Good,G,VVS2,EX,EX,GIA,9919.00000,Train
262,1.16,Very Good,D,SI1,EX,EX,GIA,5695.00000,Train
263,2.5,Very Good,I,VS2,VG,G,GIA,20894.00000,Train
264,1.71,Good,I,VS2,G,G,GIA,11250.00000,Train
265,1.29,Ideal,H,SI1,ID,ID,AGSL,7036.00000,Train
266,1.03,Ideal,G,VS1,ID,ID,AGSL,6913.00000,Train
267,0.9,Ideal,D,SI1,EX,EX,GIA,5656.00000,Train
268,2.32,Very Good,E,VVS2,G,EX,GIA,47800.00000,Train
269,1.51,Good,I,VS2,VG,G,GIA,8951.00000,Train
270,2.01,Good,E,VVS2,EX,G,GIA,34255.00000,Train
271,1,Very Good,F,SI1,EX,VG,GIA,5528.00000,Train
272,1.29,Ideal,G,VS2,EX,VG,AGSL,8858.00000,Train
273,2.23,Ideal,H,VVS1,EX,EX,GIA,28811.00000,Train
274,1.2,Very Good,F,VS1,VG,VG,GIA,9574.00000,Train
275,0.78,Ideal,H,SI1,VG,EX,GIA,2622.00000,Train
276,1,Fair,H,SI1,G,VG,GIA,4269.00000,Train
277,0.92,Very Good,E,VS2,EX,EX,GIA,5044.00000,Train
278,1.05,Good,H,SI1,G,G,GIA,4785.00000,Train
279,1.1,Very Good,H,SI1,VG,EX,GIA,4938.00000,Train
280,1.23,Very Good,G,VVS1,G,VG,GIA,10435.00000,Train
281,0.76,Good,G,VS1,VG,G,AGSL,3121.00000,Train
282,1.21,Ideal,I,VS1,ID,ID,AGSL,7111.00000,Train
283,2.01,Ideal,H,VS2,ID,ID,AGSL,20296.00000,Train
284,1.02,Very Good,E,VS2,VG,G,GIA,6612.00000,Train
285,1.04,Good,G,SI1,G,G,GIA,4768.00000,Train
286,0.76,Ideal,G,VS2,EX,EX,GIA,3114.00000,Train
287,1.01,Ideal,F,VS1,VG,VG,GIA,7870.00000,Train
288,1.51,Ideal,D,SI1,EX,EX,GIA,13588.00000,Train
289,1.22,Ideal,F,VVS2,VG,EX,GIA,10409.00000,Train
290,2.02,Very Good,E,VS2,VG,EX,GIA,28739.00000,Train
291,1.09,Ideal,G,VS1,EX,EX,GIA,7992.00000,Train
292,0.91,Very Good,D,VS2,VG,VG,GIA,5134.00000,Train
293,1,Fair,E,VS2,VG,G,GIA,6268.00000,Train
294,0.9,Very Good,I,VS2,G,G,GIA,3709.00000,Train
295,1.32,Very Good,I,VS1,VG,VG,GIA,6793.00000,Train
296,2.01,Good,H,VS2,G,G,GIA,18341.00000,Train
297,1.01,Ideal,I,SI1,VG,VG,GIA,5020.00000,Train
298,1.09,Signature-Ideal,G,VS2,ID,ID,AGSL,7709.00000,Train
299,1,Very Good,E,SI1,VG,VG,GIA,5247.00000,Train
300,0.91,Very Good,H,VVS2,VG,VG,GIA,4143.00000,Train
301,1.55,Signature-Ideal,I,VS2,ID,ID,AGSL,11574.00000,Train
302,1.25,Ideal,G,VVS2,ID,ID,AGSL,10983.00000,Train
303,1.03,Ideal,G,VVS2,EX,EX,GIA,8277.00000,Train
304,0.77,Ideal,D,SI1,ID,ID,AGSL,3345.00000,Train
305,2.01,Ideal,H,SI1,EX,VG,GIA,18252.00000,Train
306,0.78,Ideal,H,VVS2,EX,EX,GIA,3581.00000,Train
307,1.5,Signature-Ideal,G,VVS2,ID,ID,AGSL,17176.00000,Train
308,1.7,Very Good,H,SI1,VG,VG,GIA,11560.00000,Train
309,1.15,Ideal,H,SI1,VG,VG,GIA,5529.00000,Train
310,0.84,Ideal,I,VS1,EX,EX,GIA,2898.00000,Train
311,1.07,Very Good,H,VS2,G,G,GIA,5586.00000,Train
312,1.5,Ideal,E,VS2,ID,ID,AGSL,14618.00000,Train
313,1,Very Good,G,VVS1,EX,G,GIA,7872.00000,Train
314,1.01,Good,F,VS2,G,VG,GIA,5700.00000,Train
315,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079.00000,Train
316,1.28,Ideal,F,VS1,EX,EX,GIA,12061.00000,Train
317,0.91,Very Good,G,VVS1,EX,EX,GIA,4680.00000,Train
318,1.22,Ideal,F,VS2,VG,VG,GIA,8418.00000,Train
319,0.91,Very Good,H,SI1,EX,VG,GIA,3998.00000,Train
320,1.01,Very Good,H,VS2,ID,ID,AGSL,5393.00000,Train
321,1.06,Signature-Ideal,G,VS1,ID,ID,AGSL,8093.00000,Train
322,1.26,Ideal,F,VS2,EX,EX,GIA,10709.00000,Train
323,0.9,Very Good,E,VS2,VG,EX,GIA,4920.00000,Train
324,0.92,Signature-Ideal,I,SI1,ID,ID,AGSL,4457.00000,Train
325,2.01,Very Good,G,VS1,EX,EX,GIA,24784.00000,Train
326,1,Very Good,G,VVS2,EX,EX,GIA,7215.00000,Train
327,1.5,Ideal,H,VVS2,ID,ID,AGSL,12187.00000,Train
328,1.2,Very Good,H,SI1,VG,VG,GIA,6377.00000,Train
329,2.03,Ideal,F,VS2,EX,EX,GIA,31773.00000,Train
330,2.07,Very Good,I,VS2,VG,EX,GIA,16378.00000,Train
331,1.01,Very Good,F,VS1,VG,VG,GIA,6914.00000,Train
332,0.79,Very Good,E,VVS2,VG,VG,GIA,4585.00000,Train
333,1.7,Good,G,VS2,VG,G,GIA,15087.00000,Train
334,0.83,Very Good,H,VS2,G,EX,GIA,3276.00000,Train
335,1.09,Ideal,G,VS2,EX,EX,GIA,7227.00000,Train
336,0.9,Good,H,SI1,G,VG,GIA,3238.00000,Train
337,0.9,Good,D,VS2,VG,G,GIA,4508.00000,Train
338,1.33,Ideal,I,VS2,ID,ID,AGSL,7752.00000,Train
339,1.51,Ideal,G,VS2,VG,EX,GIA,12913.00000,Train
340,1,Very Good,H,SI1,EX,EX,GIA,5021.00000,Train
341,2.02,Good,H,VS1,EX,EX,GIA,19829.00000,Train
342,0.81,Very Good,E,SI1,VG,G,GIA,3643.00000,Train
343,1.03,Ideal,D,VS1,EX,EX,GIA,9192.00000,Train
344,0.75,Ideal,E,SI1,G,VG,GIA,3049.00000,Train
345,1.06,Good,H,SI1,VG,VG,GIA,4828.00000,Train
346,0.86,Ideal,F,VS2,EX,EX,GIA,4398.00000,Train
347,0.91,Fair,F,SI1,G,G,GIA,3884.00000,Train
348,1.01,Good,F,SI1,EX,VG,GIA,5107.00000,Train
349,2.09,Ideal,H,VS1,EX,EX,GIA,23602.00000,Train
350,1.23,Very Good,F,VVS2,G,EX,GIA,11110.00000,Train
351,1.35,Very Good,H,VVS2,EX,ID,AGSL,8644.00000,Train
352,1.25,Ideal,E,VVS2,ID,ID,AGSL,12981.00000,Train
353,2.02,Very Good,G,SI1,VG,EX,GIA,19442.00000,Train
354,1.01,Very Good,D,SI1,VG,G,GIA,5670.00000,Train
355,1.52,Ideal,H,SI1,EX,VG,GIA,10239.00000,Train
356,1.53,Very Good,H,SI1,G,EX,GIA,9332.00000,Train
357,2.01,Ideal,G,VS1,VG,VG,GIA,26659.00000,Train
358,1.08,Ideal,H,SI1,ID,ID,AGSL,5558.00000,Train
359,1.23,Ideal,I,SI1,EX,EX,GIA,6183.00000,Train
360,1.23,Very Good,F,VS1,G,VG,GIA,9694.00000,Train
361,1.02,Very Good,G,IF,VG,VG,GIA,8538.00000,Train
362,1.02,Very Good,F,VVS2,EX,EX,GIA,9728.00000,Train
363,1.13,Ideal,G,VS1,ID,ID,AGSL,7808.00000,Train
364,2.43,Ideal,E,SI1,EX,EX,GIA,30108.00000,Train
365,1.03,Signature-Ideal,D,VS1,EX,EX,GIA,10607.00000,Train
366,0.8,Very Good,H,VVS1,ID,ID,AGSL,3737.00000,Train
367,1.09,Ideal,D,VVS2,EX,EX,GIA,12185.00000,Train
368,1,Very Good,D,SI1,EX,VG,GIA,6040.00000,Train
369,1,Ideal,G,VS2,VG,VG,GIA,5887.00000,Train
370,1.33,Signature-Ideal,F,VVS2,EX,EX,GIA,15031.00000,Train
371,0.9,Very Good,G,VS2,VG,VG,GIA,4173.00000,Train
372,1.05,Ideal,G,VS1,ID,ID,AGSL,7317.00000,Train
373,1.04,Good,E,VVS2,VG,G,GIA,9038.00000,Train
374,1.04,Very Good,F,VS1,VG,VG,GIA,8090.00000,Train
375,2.01,Ideal,G,SI1,ID,ID,AGSL,20934.00000,Train
376,1.51,Good,I,VS2,EX,G,GIA,8939.00000,Train
377,0.9,Fair,D,VS1,VG,G,GIA,4958.00000,Train
378,1.12,Ideal,G,VS1,ID,ID,AGSL,7970.00000,Train
379,0.91,Very Good,F,SI1,VG,VG,GIA,3963.00000,Train
380,1.05,Ideal,G,VS1,EX,VG,GIA,7571.00000,Train
381,2.01,Ideal,E,SI1,EX,EX,GIA,23217.00000,Train
382,0.9,Fair,E,SI1,VG,VG,GIA,3743.00000,Train
383,2.3,Very Good,E,VS1,EX,EX,GIA,45752.00000,Train
384,0.85,Very Good,D,VS2,VG,VG,GIA,4133.00000,Train
385,1.25,Very Good,I,VS2,G,VG,GIA,5956.00000,Train
386,1.59,Ideal,I,SI1,EX,EX,GIA,9209.00000,Train
387,1.2,Ideal,D,VVS2,VG,EX,GIA,13165.00000,Train
388,1.21,Very Good,G,VVS2,EX,EX,GIA,9878.00000,Train
